english,asl_gloss
I need a new laptop sleeve,LAPTOP SLEEVE NEW I NEED.
The air is fresh,AIR FRESH.
I will organize the junk drawer,JUNK DRAWER I WILL ORGANIZE.
I need to check the brake pads,BRAKE PADS I NEED CHECK.
I am going to the dentist tomorrow,TOMORROW I GO DENTIST.
I want to learn to play banjo,BANJO I WANT LEARN PLAY.
I need a small medicine cabinet,MEDICINE CABINET SMALL I NEED.
The bench is hard,BENCH HARD.
I will clean the baseboards,BASEBOARDS I WILL CLEAN.
I need to find the lost key,KEY LOST I NEED FIND.
I am feeling hopeful,I FEEL HOPEFUL.
I want to buy a pair of sunglasses,SUNGLASSES PAIR I WANT BUY.
I need a heavy winter coat,WINTER COAT HEAVY I NEED.
The soup is bland,SOUP BLAND.
I will bring a potluck dish,POTLUCK DISH I WILL BRING.
I need to check the car insurance,CAR INSURANCE I NEED CHECK.
I am thinking about my old school,SCHOOL OLD MY I THINKING ABOUT.
I want to be more flexible,FLEXIBLE MORE I WANT BE.
I need a set of paint brushes,PAINT BRUSHES SET I NEED.
The music is nostalgic,MUSIC NOSTALGIC.
I will write a thank-you card,THANK-YOU CARD I WILL WRITE.
I need to find the meeting room,MEETING ROOM I NEED FIND.
I am attending a workshop,WORKSHOP I ATTENDING.
I want to visit a national monument,MONUMENT NATIONAL I WANT VISIT.
I need a small first aid kit,FIRST AID KIT SMALL I NEED.
The cable is loose,CABLE LOOSE.
I will check the back porch,BACK PORCH I WILL CHECK.
I need to buy a bicycle pump,BICYCLE PUMP I NEED BUY.
I am looking for a quiet cafe,CAFE QUIET I LOOKING FOR.
I want to learn about geology,GEOLOGY I WANT LEARN ABOUT.
I need a pair of reading glasses,READING GLASSES PAIR I NEED.
The water is moving slowly,WATER MOVING SLOWLY.
I will take a photograph,PHOTOGRAPH I WILL TAKE.
I need to check the light switch,LIGHT SWITCH I NEED CHECK.
I am planning my budget,BUDGET I PLANNING.
I want to try surfing,SURFING I WANT TRY.
I need a new vacuum bag,VACUUM BAG NEW I NEED.
The phone is muted,PHONE MUTED.
I will turn down the volume,VOLUME I WILL TURN DOWN.
I need to find the gift receipt,GIFT RECEIPT I NEED FIND.
I am feeling peaceful,I FEEL PEACEFUL.
I want to buy a new watch,WATCH NEW I WANT BUY.
I need a small desk organizer,DESK ORGANIZER SMALL I NEED.
The food is too oily,FOOD OILY TOO.
I will check the back door,BACK DOOR I WILL CHECK.
I need to buy new windshield wipers,WINDSHIELD WIPERS NEW I NEED BUY.
I am studying psychology,PSYCHOLOGY I STUDYING.
I want to buy a small rug,RUG SMALL I WANT BUY.
I need a pair of headphones,HEADPHONES PAIR I NEED.
The movie was great,MOVIE GREAT WAS.
I will write a note,NOTE I WILL WRITE.
I need to find the correct exit,EXIT CORRECT I NEED FIND.
I am going to the theater,I GO THEATER.
I want to try gardening,GARDENING I WANT TRY.
I need a power strip,POWER STRIP I NEED.
The air is thick,AIR THICK.
